AnimeID,Title,Type,Episodes,Aired Start,Aired End,Members,Score
31989,Hibike! Euphonium Movie 1: Kitauji Koukou Suisougaku-bu e Youkoso,Movie,1,Apr 2016,Apr 2016,32729,7.59
37972,Hoshiai no Sora,TV,12,Oct 2019,Dec 2019,207259,7.59
821,Initial D Battle Stage,OVA,1,May 2002,May 2002,40521,7.59
12725,Initial D: Project D to the Next Stage - Project D e Mukete,Special,1,Mar 2003,Mar 2003,12516,7.59
24439,Kekkai Sensen,TV,12,Apr 2015,Oct 2015,896883,7.59
1606,Kekkaishi,TV,52,Oct 2006,Feb 2008,113103,7.59
22125,Kuroko no Basket: Mou Ikkai Yarimasen ka,Special,1,Jun 2014,Jun 2014,49906,7.59
38373,Macross Δ Movie 2: Zettai Live!!!,Movie,1,Oct 2021,Oct 2021,8851,7.59
7303,Meitantei Conan: Kuro no Soshiki to Taiketsu no Rekishi,TV,N/A,Dec 2007,Dec 2007,8679,7.59
40331,Ongaku,Movie,1,Jan 2020,Jan 2020,13567,7.59
24543,Persona 3 the Movie 3: Falling Down,Movie,1,Apr 2015,Apr 2015,79586,7.59
38414,Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna,Movie,1,Nov 2019,Nov 2019,277068,7.59
21755,Shin Tennis no Oujisama vs. Genius 10,OVA,10,Oct 2014,Jun 2015,20053,7.59
47257,Shinigami Bocchan to Kuro Maid,TV,12,Jul 2021,Sep 2021,258830,7.59
5751,Tennis no Oujisama: Another Story - Kako to Mirai no Message,OVA,4,May 2009,Sep 2009,15921,7.59
41488,Tensura Nikki: Tensei shitara Slime Datta Ken,TV,12,Apr 2021,Jun 2021,353701,7.59
22583,Uchuu Kyoudai: Number Zero,Movie,1,Aug 2014,Aug 2014,7808,7.59
53526,Uma Musume: Pretty Derby Season 3,TV,13,Oct 2023,Dec 2023,22254,7.59
18753,Yahari Ore no Seishun Love Comedy wa Machigatteiru. OVA,OVA,1,Sep 2013,Sep 2013,277556,7.59
22101,Soredemo Sekai wa Utsukushii,TV,12,Apr 2014,Jun 2014,323455,7.58
39597,Sword Art Online: Alicization - War of Underworld,TV,12,Oct 2019,Dec 2019,788147,7.58
54565,Tensei shitara Slime Datta Ken: Coleus no Yume,ONA,3,Nov 2023,Nov 2023,92107,7.58
40735,Tianbao Fuyao Lu,ONA,13,Jul 2020,Sep 2020,9785,7.58
55889,Watashi no Shiawase na Kekkon: Watashi no Shiawase na Katachi,OVA,1,Mar 2024,Mar 2024,27028,7.58
24405,World Trigger,TV,73,Oct 2014,Apr 2016,437027,7.58
35789,Yowamushi Pedal: Glory Line,TV,25,Jan 2018,Jun 2018,61756,7.58
52193,Akiba Meido Sensou,TV,12,Oct 2022,Dec 2022,168207,7.58
41433,Akudama Drive,TV,12,Oct 2020,Dec 2020,451154,7.58
53881,Arknights: Touin Kiro,TV,8,Oct 2023,Nov 2023,47242,7.58
37869,BanG Dream! 2nd Season,TV,13,Jan 2019,Mar 2019,46728,7.58
2213,Black Jack (TV),TV,61,Oct 2004,Mar 2006,37715,7.58
44200,Boku no Hero Academia the Movie 3: World Heroes' Mission,Movie,1,Aug 2021,Aug 2021,260840,7.58
2800,Candy Candy,TV,115,Oct 1976,Feb 1979,32616,7.58
4596,Code Geass: Hangyaku no Lelouch Special Edition - Black Rebellion,OVA,1,Feb 2008,Feb 2008,42945,7.58
25341,Diamond no Ace OVA,OVA,3,Nov 2014,Mar 2015,17789,7.58
50425,"Fuufu Ijou, Koibito Miman.",TV,12,Oct 2022,Dec 2022,339096,7.58
10350,Hakuouki: Sekkaroku,OVA,6,Aug 2011,Jun 2012,28364,7.58
106,Hana yori Dango,TV,51,Sep 1996,Aug 1997,63828,7.58
52364,Hirano to Kagiura,Movie,1,Feb 2023,Feb 2023,26646,7.58
160,"Ima, Soko ni Iru Boku",TV,13,Oct 1999,Jan 2000,150523,7.58
43609,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen OVA,OVA,1,May 2021,May 2021,241531,7.58
96,Kidou Butouden G Gundam,TV,49,Apr 1994,Mar 1995,71545,7.58
34973,Love Live! Sunshine!! 2nd Season,TV,13,Oct 2017,Dec 2017,119053,7.58
2985,Majin Tantei Nougami Neuro,TV,25,Oct 2007,Mar 2008,68753,7.58
39585,Majo Minarai wo Sagashite,Movie,1,Nov 2020,Nov 2020,11728,7.58
10389,Momo e no Tegami,Movie,1,Apr 2012,Apr 2012,85449,7.58
19511,Naruto: Shippuuden - Sunny Side Battle,Special,1,Oct 2013,Oct 2013,75170,7.58
48896,Overlord Movie 3: Sei Oukoku-hen,Movie,1,Sep 2024,Sep 2024,66669,7.58
1008,Ranma ½: Yomigaeru Kioku,OVA,2,Dec 1994,Feb 1995,20112,7.58
1699,Romeo x Juliet,TV,24,Apr 2007,Sep 2007,186783,7.58
3515,Saint Seiya: Meiou Hades Elysion-hen,OVA,6,Mar 2008,Aug 2008,42564,7.58
53747,Kimi no Iro,Movie,1,Aug 2024,Aug 2024,22678,7.57
