AnimeID,Title,Type,Episodes,Aired Start,Aired End,Members,Score
44276,Kyuukyoku Shinka shita Full Dive RPG ga Genjitsu yori mo Kusoge Dattara,TV,12,Apr 2021,Jun 2021,259151,6.47
42753,Love Live! μ's Go→Go! LoveLive! 2015: Dream Sensation!,Special,4,Jan 2015,Feb 2015,677,6.47
40066,Madoromi no Vevara,ONA,1,Jul 2019,Jul 2019,2500,6.47
7090,Madou King Granzort: Saigo no Magical Taisen,OVA,2,Aug 1990,Sep 1990,837,6.47
3660,Mahou no Idol Pastel Yumi,TV,25,Mar 1986,Aug 1986,3928,6.47
12503,Mirai Nikki (TV): Ura Mirai Nikki,Special,10,Jan 2012,Aug 2012,59314,6.47
37504,Mob Psycho Mini,Special,6,Sep 2016,Feb 2017,37094,6.47
6067,Moeru! Oniisan,TV,24,Mar 1988,Sep 1988,2164,6.47
2741,Monkey Turn V,TV,25,Jul 2004,Dec 2004,1300,6.47
39701,Nanatsu no Taizai: Kamigami no Gekirin,TV,24,Oct 2019,Mar 2020,748089,6.47
53880,One Piece The Planetarium,Movie,1,Jul 2013,Jul 2013,2412,6.47
22661,One Piece: Cry Heart,Special,3,Jan 2014,Apr 2015,10412,6.47
50955,Onipan!,TV,60,Apr 2022,Jul 2022,15611,6.47
21695,Pokemon XY SP: Road to Kalos,TV,N/A,Oct 2013,Oct 2013,9000,6.47
1296,Project A-Ko 2: Daitokuji Zaibatsu no Inbou,OVA,1,May 1987,May 1987,7549,6.47
52020,Sekai no Owari ni Shiba Inu to,ONA,72,Aug 2022,Feb 2023,6385,6.47
23121,Jinsei,TV,13,Jul 2014,Sep 2014,72459,6.46
37586,Kaijuu Girls Kuro: Ultra Kaijuu Gijinka Keikaku,Movie,1,Nov 2018,Nov 2018,4144,6.46
13769,Kamen no Ninja Akakage,TV,23,Oct 1987,Mar 1988,1448,6.46
3923,Kamen Rider Den-O: Imagin Anime,OVA,10,Apr 2008,Apr 2008,1522,6.46
34884,Keijo!!!!!!!! Specials,Special,6,Nov 2016,May 2017,26840,6.46
2074,Kerokero Chime,TV,30,Mar 1997,Sep 1997,1940,6.46
5153,Kikou Kai Galient,TV,25,Oct 1984,Mar 1985,4180,6.46
59162,Kinnikuman: Kanpeki Chоujin Shiso-hen Episode 0,TV,N/A,Jul 2024,Jul 2024,1968,6.46
41205,Kouya no Kotobuki Hikoutai Kanzenban,Movie,1,Sep 2020,Sep 2020,2824,6.46
2911,Kyoushirou to Towa no Sora Specials,Special,6,Apr 2007,Sep 2007,5998,6.46
12429,Last Exile: Ginyoku no Fam - Adjournment,TV,N/A,Dec 2011,Feb 2012,6832,6.46
3823,Little Lulu to Chicchai Nakama,TV,26,Oct 1976,Apr 1977,1126,6.46
7103,Miracle☆Train: Oedo-sen e Youkoso,TV,13,Oct 2009,Dec 2009,19878,6.46
4421,Moetan Specials,Special,2,Dec 2007,Mar 2008,5982,6.46
